Perfil,h (mm),b (mm),tw (mm),tf (mm),r (mm),d (mm),A (cm2),G (Kg/m1),Iy (cm4),Wy (cm3),iy (cm1),Iz (cm4),Wz (cm3),iz (cm1)
"IPE 80",80,46,3.8,5.2,5,59.6,7.64,6,80.14,20.03,3.24,8.49,3.69,1.05
"IPE 100",100,55,4.1,5.7,7,74.6,10.32,8.1,171,34.2,4.07,15.9,5.79,1.24
"IPE 120",120,64,4.4,6.3,7,93.4,13.2,10.4,318,53,4.9,27.7,8.65,1.45
"IPE 140",140,73,4.7,6.9,7,112.2,16.4,12.9,541,77.3,5.74,44.9,12.3,1.65
"IPE 160",160,82,5,7.4,9,127.2,20.1,15.8,869,109,6.58,68.3,16.7,1.84
"IPE 180",180,91,5.3,8,9,146,23.9,18.8,1.32,146,7.42,101,22.2,2.05
"IPE 200",200,100,5.6,8.5,12,159,28.5,22.4,1.94,194,8.26,142,28.5,2.24
"IPE 220",220,110,5.9,9.2,12,177.6,33.4,26.2,2.77,252,9.11,205,37.3,2.48
"IPE 240",240,120,6.2,9.8,15,190.4,39.1,30.7,3.89,324,9.97,284,47.3,2.69
"IPE 270",270,135,6.6,10.2,15,219.6,45.9,36.1,5.79,429,11.2,420,62.2,3.02
"IPE 300",300,150,7.1,10.7,15,248.6,53.8,42.2,8.36,557,12.5,604,80.5,3.35
"IPE 330",330,160,7.5,11.5,18,271,62.6,49.1,11.77,713,13.7,788,98.5,3.55
"IPE 360",360,170,8,12.7,18,298.6,72.7,57.1,16.27,904,15,1.04,123,3.79
"IPE 400",400,180,8.6,13.5,21,331,84.5,66.3,23.13,1.16,16.5,1.32,146,3.95
"IPE 450",450,190,9.4,14.6,21,378.8,98.8,77.6,33.74,1.5,18.5,1.68,176,4.12
"IPE 500",500,200,10.2,16,21,426,116,90.7,48.2,1.93,20.4,2.14,214,4.31
"IPE 550",550,210,11.1,17.2,24,467.6,134,106,67.12,2.44,22.3,2.67,254,4.45
"IPE 600",600,220,12,19,24,514,156,122,92.08,3.07,24.3,3.39,308,4.66
"IPN 80",80,45,"",5.9,"",59,7.58,5.95,77.8,19.5,3.2,6.29,3,0.91
"IPN 100",100,50,"",6.8,"",75,10.6,8.32,171,34.2,4.01,12.2,4.88,1.07
"IPN 120",120,58,"",7.7,"",92,14.2,11.1,328,54.7,4.81,21.5,7.41,1.23
"IPN 140",140,66,"",8.6,"",109,18.3,14.4,573,81.9,5.61,35.2,10.7,1.4
"IPN 160",160,74,"",9.5,"",125,22.8,17.9,935,117,6.4,54.7,14.8,1.55
"IPN 180",180,82,"",10.4,"",142,27.9,21.9,1.45,161,7.2,81.3,19.8,1.71
"IPN 200",200,90,"",11.3,"",159,33.5,26.3,2.14,214,8,117,26,1.87
"IPN 220",220,98,"",12.2,"",175,39.6,31.1,3.06,278,8.8,162,33.1,2.02
"IPN 240",240,106,"",13.1,"",192,46.1,36.2,4.25,354,9.59,221,41.7,2.2
"IPN 260",260,113,"",14.1,"",208,53.4,41.9,5.74,442,10.4,288,51,2.32
"IPN 280",280,119,"",15.2,"",225,61.1,48,7.59,542,11.1,364,61.2,2.45
"IPN 300",300,125,"",16.2,"",241,69.1,54.2,9.8,653,11.9,451,72.2,2.56
"IPN 320",320,131,"",17.3,"",257,77.8,61.1,12.51,782,12.7,555,84.7,2.67
"IPN 340",340,137,"",18.3,"",274,86.8,68.1,15.7,923,13.5,674,98.4,2.8
"IPN 360",360,143,"",19.5,"",290,97.1,76.2,19.61,1.09,14.2,818,114,2.9
"IPN 380",380,149,"",20.5,"",306,107,84,24.01,1.26,15,975,131,3.02
"IPN 400",400,155,"",21.6,"",323,118,92.6,29.21,1.46,15.7,1.16,148,3.13
"IPN 450",450,170,"",24.3,"",363,147,115,45.85,2.04,17.7,1.73,203,3.43
"IPN 500",500,185,"",27,"",404,180,141,68.74,2.75,19.6,2.48,268,3.71
"IPN 550",550,200,"",30,"",444,213,167,99.18,3.61,21.6,3.49,349,4.02
"IPN 600",600,215,"",32.4,"",485,254,199,139,4.63,23.4,4.67,434,4.3
"HEA 100",96,100,5,8,12,56,21.2,16.7,349,72.8,4.06,134,26.8,2.51
"HEA 120",114,120,5,8,12,74,25.3,19.9,606,106,4.89,231,38.5,3.02
"HEA 140",133,140,5.5,8.5,12,92,31.4,24.7,1.03,155,5.73,389,55.6,3.52
"HEA 160",152,160,6,9,15,104,38.8,30.4,1.67,220,6.57,616,76.9,3.98
"HEA 180",171,180,6,9.5,15,122,45.3,35.5,2.51,294,7.45,925,103,4.52
"HEA 200",190,200,6.5,10,18,134,53.8,42.3,3.69,389,8.28,1.34,134,4.98
"HEA 220",210,220,7,11,18,152,64.3,50.5,5.41,515,9.17,1.95,178,5.51
"HEA 240",230,240,7.5,12,21,164,76.8,60.3,7.76,675,10.8,2.77,231,6
"HEA 260",250,260,7.5,12.5,24,177,86.8,68.2,10.45,836,11,3.67,282,6.5
"HEA 280",270,280,8,13,24,196,97.3,76.4,13.67,1.01,11.9,4.76,340,7
"HEA 300",290,300,8.5,14,27,208,113,88.3,18.26,1.26,12.7,6.31,421,7.47
"HEA 320",310,300,9,15.5,27,225,124,97.6,22.93,1.48,13.6,6.99,466,7.51
"HEA 340",330,300,9.5,16.5,27,243,133,105,27.69,1.68,14.4,7.74,496,7.46
"HEA 360",350,300,10,17.5,27,261,143,112,33.09,1.89,15.2,7.89,526,7.43
"HEA 400",390,300,11,19,27,298,159,125,45.07,2.31,16.8,8.56,571,7.34
"HEA 450",440,300,11.5,21,27,344,178,140,63.72,2.9,18.9,9.47,631,7.29
"HEA 500",490,300,12,23,27,390,198,155,86.97,3.55,21,10.37,691,7.24
"HEA 550",540,300,12.5,24,27,438,211.8,166,111932,4.15,23,10819,721,7.15
"HEA 600",590,300,13,25,27,486,226.6,178,141208,4.79,25,11271,751,7.05
"HEA 650",640,300,13.5,26,27,534,241.6,190,175178,5.47,26.9,11724,782,6.97
"HEA 700",690,300,14.5,27,27,582,260.5,204,215301,6.24,28.8,12179,812,6.84
"HEA 800",790,300,15,28,30,674,285.8,224,303442,7.68,32.6,12639,843,6.65
"HEA 900",890,300,16,30,30,770,320.5,252,422075,9.48,36.3,13547,903,6.5
"HEA 1000",990,300,16.5,31,30,868,346.8,272,553846,11.19,40,14004,934,6.35
"HEB 100",100,100,6,10,12,56,26,20.4,450,89.9,4.16,167,33.5,2.53
"HEB 120",120,120,6.5,11,12,74,34,26.7,864,144,5.04,318,52.9,3.06
"HEB 140",140,140,7,12,12,92,43,33.7,1.51,216,5.93,550,78.5,3.58
"HEB 160",160,160,8,13,15,104,54.3,42.6,2.49,311,6.78,889,111,4.05
"HEB 180",180,180,8.5,14,15,122,65.3,51.2,3.83,426,7.66,1.36,151,4.57
"HEB 200",200,200,9,15,18,134,78.1,61.3,5.7,570,8.54,2,200,5.07
"HEB 220",220,220,9.5,16,18,152,91,71.5,8.09,736,9.43,2.84,258,5.59
"HEB 240",240,240,10,17,21,164,106,83.2,11.26,938,10.3,3.92,327,6.08
"HEB 260",260,260,10,17.5,24,177,118,93,14.92,1.15,11.2,5.13,395,6.58
"HEB 280",280,280,10.5,18,24,196,131,103,19.27,1.38,12.1,6.59,471,7.09
"HEB 300",300,300,11,19,27,208,149,117,25.17,1.68,13,8.56,571,7.58
"HEB 320",320,300,11.5,20.5,27,225,161,127,30.82,1.93,13.8,9.24,616,7.57
"HEB 340",340,300,12,21.5,27,243,171,134,36.66,2.16,14.6,9.69,646,7.53
"HEB 360",360,300,12.5,22.5,27,261,181,142,43.19,2.4,15.5,10.14,676,7.49
"HEB 400",400,300,13.5,24,27,298,198,155,57.68,2.88,17.1,10.82,721,7.4
"HEB 450",450,300,14,26,27,344,218,171,79.89,3.55,19.1,11.72,781,7.33
"HEB 500",500,300,14.5,28,27,390,239,187,107.2,4.29,21.2,12.62,842,7.27
"HEB 550",550,300,15,29,27,438,254.1,199,136691,4.97,23.2,13077,872,7.17
"HEB 600",600,300,15.5,30,27,486,270,212,171041,5.79,25.2,13.35,902,7.08
"HEB 650",650,300,16,31,27,534,286.3,225,210616,6.48,27.1,13984,932,6.99
"HEB 700",700,300,17,32,27,582,306.4,241,256888,7.34,29,14441,963,6.87
"HEB 800",800,300,17.5,33,30,674,334.2,262,359083,8.98,32.8,14904,994,6.68
"HEB 900",900,300,18.5,35,30,770,371.3,291,494065,10.98,36.5,15816,1.05,6.53
"HEB 1000",1000,300,19,36,30,868,400,314,664748,12.89,40.1,16276,1.09,6.38
"HEM 100",120,106,12,20,12,56,53.2,41.8,1143,190,4.63,399,75,2.74
"HEM 120",140,126,12.5,21,12,74,66.4,52.1,2018,288,5.51,703,112,3.25
"HEM 140",160,146,13,22,12,92,80.6,63.2,3291,411,6.39,1144,157,3.77
"HEM 160",180,166,14,23,15,104,97.1,76.2,5098,566,7.25,1759,212,4.26
"HEM 180",200,186,14.5,24,15,122,113.3,88.9,7483,748,8.13,2.58,277,4.77
"HEM 200",220,206,15,25,18,134,131.1,103,10642,967,9,3651,354,5.27
"HEM 220",240,226,15.5,26,18,152,149.4,117,14605,1.22,9.89,5012,444,5.79
"HEM 240",270,248,18,32,21,164,199.6,157,24289,1.8,11,8153,657,6.39
